lsoa_code,population_density
E01003332,7792.5
E01003334,10506.2
E01003189,9251.3
E01003190,7108.2
E01003191,8402.4
E01003192,1760.5
E01003326,13202.3
E01003327,7925.2
E01003328,9277.9
E01003333,12211.6
E01003335,12918.1
E01003236,9542.4
E01003237,6516.2
E01003238,11410.9
E01003239,7337.3
E01032564,8537.7
E01003235,2910.4
E01003240,9550.5
E01003241,5583.3
E01003243,6174.3
E01032565,6708.3
E01003298,9349.9
E01003300,12569.7
E01003303,7778.3
E01003304,13204
E01032579,12390.8
E01003288,12649.5
E01003290,13254.7
E01003291,5465.5
E01033327,6771
E01033341,10376.2
E01004029,18498.6
E01004032,10966.3
E01004053,12496.7
E01004054,12428.9
E01004055,6759.8
E01003929,8456
E01003934,8220.4
E01003935,9067.8
E01003939,12883.2
E01003975,21760.4
E01004023,14477.6
E01004028,20141.7
E01003938,23784.1
E01003940,29174.3
E01003941,21194
E01003942,15888.8
E01003979,11849.6
E01003981,7928.5
E01004030,15925.1
E01004031,6102.8
E01004033,16698.9
E01004034,12139.6
E01004036,21816.3
E01004056,12357.3
E01004057,9187.9
E01004058,12229.4
E01004059,6602.9
E01004060,20132.9
E01003936,17576.7
E01003937,16016.7
E01003943,24572.4
E01003977,14478
E01004037,13654.8
E01004038,11168.5
E01004042,13240.9
E01004043,11356.8
E01003986,8791.6
E01003987,13394
E01004024,16345.5
E01004035,6357.6
E01003960,13993.7
E01003961,17211.6
E01003994,12898.4
E01003980,10314.6
E01004039,18025.7
E01004040,17105.3
E01004041,21237
E01004044,20483.6
E01003992,21607.6
E01003995,21401.9
E01003998,15245.7
E01003999,16976.2
E01032639,21492.7
E01032719,34819.3
E01003966,20992.1
E01003971,22421.4
E01003963,28922.6
E01003972,20151.1
E01003973,18634.3
E01003923,13765.8
E01003969,8658.9
E01003991,16113.9
E01003993,23539
E01003997,17075.1
E01003983,15950.6
E01003988,5245
E01003989,9212.9
E01003990,16137.2
E01004007,18060.1
E01003912,23921.6
E01004011,18479
E01004012,16685.6
E01004013,16099.4
E01004014,23318.7
E01003911,18593.1
E01003916,15962.9
E01003917,16914.8
E01003918,16877.9
E01003925,23001.1
E01003919,10440.6
E01003920,24246.3
E01003921,16055.3
E01003922,16118.3
E01003924,26314.5
E01003926,13056.1
E01004008,20776.9
E01004010,11709.4
E01004067,9505.8
E01003984,13828.5
E01004003,14433.9
E01004004,13387.8
E01004005,15143.2
E01004006,12291.9
E01003913,8678.8
E01003914,12740.4
E01003915,18993.8
E01004050,7524.4
E01004052,10115.8
E01004061,7936.8
E01004062,13313.3
E01004063,10705.3
E01004065,13428.3
E01004066,14663.4
E01004000,12002.5
E01004001,9043.5
E01004019,15533.6
E01004064,11849.8
E01004068,10165.3
E01004045,25432.7
E01004047,16235.2
E01004048,4025.2
E01004049,12523.3
E01004051,8504.3
E01003953,9945.7
E01003955,13565.3
E01004015,3155
E01004021,13942
E01004046,10568.7
E01004002,5051.9
E01004016,4531.8
E01004017,4613.4
E01004020,8917.3
E01003952,12537.9
E01003954,15746.8
E01003956,16000
E01004071,12157.6
E01004072,5942.5
E01004069,1411.3
E01004070,6071.5
E01004073,9498.5
E01004074,4820.6
E01004075,2908.8
E01003949,8267.4
E01003950,8148
E01003957,10604.3
E01003958,12168.4
E01004018,7035.9
E01003945,2068.3
E01003946,4148.5
E01003947,11510.4
E01003948,6545.8
E01003951,1405.2
E01003930,18263.7
E01003932,12600.2
E01003933,10728.2
E01032583,13486.8
E01032584,15530
E01032637,26069.7
E01032638,27277.2
E01032640,22747.3
E01032834,28873.2
E01003976,19958.3
E01032646,12327.1
E01032803,24851.5
E01004222,19754
E01004223,3740.7
E01004226,25937.5
E01004198,15684.2
E01004199,24565.2
E01004201,13012.3
E01004228,15342.8
E01004230,13590.9
E01004232,9249.9
E01004233,26522.3
E01004234,4468.7
E01004229,13657.4
E01004231,15114.8
E01032764,7266.9
E01032765,21654.3
E01032784,26414.2
E01004200,26167.2
E01004202,17994.7
E01004203,17186.3
E01004204,22106.5
E01004311,21757.1
E01004315,16527.2
E01004259,13150.8
E01004260,18195.7
E01004263,16944.8
E01004266,17685.7
E01004235,33047.9
E01004236,15204.7
E01004237,23430.3
E01004239,16601.1
E01004312,21928.1
E01004313,25851.6
E01004316,29601.1
E01004264,23700.7
E01032785,34560.4
E01032786,27684.4
E01004207,20787.2
E01004209,17251.2
E01004212,25410
E01032787,23110.3
E01004240,19423.3
E01004241,14315.1
E01004267,10436.4
E01004268,34216.6
E01004205,16306.4
E01004206,19037.7
E01004208,12225
E01004211,9890.7
E01004270,8248.1
E01004271,25683
E01004272,28143.5
E01004306,15123.2
E01004307,10880.3
E01004308,17298.9
E01004309,22026.8
E01004310,22004.4
E01004283,14444.4
E01004287,26439.5
E01004289,18419
E01004290,19268.3
E01004322,9880.1
E01004323,22998.6
E01004324,20984.3
E01004326,22517.9
E01004245,13846.9
E01004248,17777.8
E01004249,13415.8
E01004286,15878.2
E01004288,18015.6
E01004243,13319
E01004244,14901.8
E01004247,22184.9
E01004319,27906.5
E01004321,20595
E01032767,11645.6
E01004298,17453.8
E01004300,27777.8
E01004304,20778.2
E01004305,20438.6
E01004251,20251.4
E01004255,16890.3
E01004258,15349.3
E01004256,11793.4
E01004257,17772.5
E01004301,17359.4
E01004302,33581.5
E01004303,13163.7
E01032768,18898.4
E01032769,13205.1
E01004292,11139.2
E01004295,24637.1
E01004296,18000
E01004291,16704.5
E01004293,6035.8
E01004297,16328.8
E01004214,24000
E01004216,19955.4
E01004217,5031.5
E01004218,13234.9
E01004274,23038.9
E01004275,18125.5
E01004276,25085.6
E01004281,15826.7
E01032775,34405.8
E01032783,15931.8
E01004280,14190.3
E01032770,48672.8
E01032772,29570
E01032774,8833.9
E01004277,3637.6
E01032771,4400.8
E01032781,31335.8
E01032782,29270.8
E01032776,26098.5
E01004219,13639.1
E01032777,11045.8
E01032779,47627.1
E01032780,5840
E01004221,14834.8
E01004560,2809
E01004566,17676.1
E01004582,16352.2
E01004583,11339.5
E01004539,15382.4
E01004540,16118.3
E01004577,15948.3
E01004584,33449.6
E01004579,15937
E01004580,19501.8
E01004581,15609.1
E01033099,18152.1
E01033133,19833.9
E01004565,19005.7
E01004590,12946.1
E01004591,15346.8
E01004592,17578.3
E01004604,4164.7
E01004605,9391.4
E01004606,15812.9
