lsoa_code,road_density,street_density_km_per_sqkm,edge_density_km_per_sqkm,n_nodes,n_edges,total_edge_length,avg_street_length,circuity_avg,status
E01004617,0.011827814192940865,7574.400410376919,11827.814192940867,26,50,5069.02461910331,111.93609935556877,1.2014320910851604,success
E01004618,0.019606239628531027,9803.119814265516,19606.239628531028,15,30,2349.777198179745,78.32590660599152,1.0378738585931155,success
E01004619,0.004097550036354627,2048.775018177314,4097.550036354627,13,24,2167.8064735633943,90.32526973180812,1.0146473219733645,success
E01004620,0.025306501808721224,12653.250904360613,25306.501808721223,20,42,2695.6093596313854,64.18117522931871,1.0283296489099853,success
E01004621,0.008968077845077653,5418.598531088512,8968.077845077652,21,39,3944.574140841256,113.49283225705692,1.014144469421412,success
E01004622,0.008017257136570517,5081.314892033184,8017.257136570518,12,22,1639.7136209236794,86.60382117743848,1.0385242484780375,success
E01004623,0.021053817599034196,10526.908799517098,21053.8175990342,18,40,3145.330036754313,78.63325091885781,1.0226590915080718,success
E01004624,0.011050131185511743,5525.065592755868,11050.131185511742,14,38,4416.696458985684,116.22885418383375,1.0002418359258296,success
E01004625,0.0049503215164625755,2475.1607582312868,4950.321516462575,12,24,1227.7787386705395,51.15744744460579,1.0869835838426711,success
E01004626,0.0058221403905968925,2911.070195298447,5822.140390596893,43,84,3350.4086341515736,39.88581707323302,1.019001274926074,success
E01004627,0.019620264213967335,10067.08819996513,19620.264213967333,14,27,2150.4855107202056,78.81475088741495,1.0012548913426742,success
E01004628,0.016963628538541636,8959.122190023449,16963.628538541638,21,39,3813.4365066522655,91.54624701733928,1.084177920651138,success
E01004629,0.01879454106297521,9397.270531487608,18794.54106297521,21,42,4583.867758791661,109.13970854265861,1.0403800901848177,success
E01004630,0.012563788292889988,6281.894146444992,12563.788292889987,15,28,1443.7119024647452,51.56113937374089,1.0618596579912298,success
E01004631,0.023922406808960284,11961.203404480137,23922.406808960284,31,64,3875.8904757289965,60.56078868326554,1.1548676680998617,success
E01004632,0.011527480494773314,5763.740247386658,11527.480494773316,18,36,3218.3241041440583,89.39789178177939,1.0168628033260738,success
E01004633,0.024332544716105978,12166.272358052987,24332.544716105975,12,26,1987.502661210481,76.44241004655696,1.233959084414075,success
E01004634,0.01271312862791992,6356.564313959958,12713.12862791992,12,22,1539.6881509133784,69.98582504151717,1.1137866178687479,success
E01004635,0.023911899211849965,11955.949605924987,23911.899211849966,33,70,3955.2997804618435,56.504282578026356,1.0826731206213998,success
E01004636,0.021269125108649544,10634.562554324772,21269.125108649543,23,52,3213.433134241333,61.79679104310256,1.1372909922490086,success
E01004637,0.01234467673558435,6172.338367792175,12344.67673558435,11,20,1753.441674373398,87.6720837186699,1.044702975378234,success
E01004638,0.017701108346306966,8850.554173153483,17701.108346306963,19,46,4778.932534525861,103.88983770708396,1.0320778063181455,success
E01004639,0.011701872943785378,5850.93647189269,11701.872943785378,18,34,2626.4371065390656,77.24815019232547,1.0571516167205042,success
E01004640,0.011601300156222615,6303.344818258614,11601.300156222615,12,25,1944.2635366880806,81.25988085076526,1.0010353549409141,success
E01004641,0.008970149322544125,4867.907514662503,8970.149322544125,14,33,1858.3410486160383,59.32245895662266,1.3367228907419177,success
E01004642,0.019378163920908704,9791.2236659642,19378.163920908704,24,56,4310.319892807173,75.09929344393672,1.129799059265232,success
E01004643,0.011394366663053579,6470.235193892217,11394.366663053579,17,38,2304.723158823183,65.43628678700034,1.3592987858150458,success
E01004644,0.017351681345748986,8675.840672874494,17351.681345748984,34,88,6812.378085916273,77.41338733995767,1.0727400970384304,success
E01004645,0.023669475238759168,11834.737619379584,23669.47523875917,19,44,3770.5124805579962,85.69346546722718,1.0381878896325176,success
E01004646,0.022227854055699398,11113.927027849697,22227.854055699398,13,28,4730.2833841416295,168.93869229077245,1.0022341034143791,success
E01004647,0.016723539335388095,8361.769667694047,16723.539335388097,14,30,3281.1214860643854,109.37071620214617,1.0000802590569875,success
E01004648,0.018021436706273906,9899.495879176853,18021.436706273904,21,42,3869.3977532728713,96.6149564940715,1.0056880783620339,success
E01004649,0.013822631545231789,8258.284291322498,13822.631545231789,18,34,2677.766426576323,76.18202195319766,1.0629156841266914,success
