lsoa_code,lsoa_name,borough,imd_score,imd_quintile,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,status,data_source
E01004589,Wandsworth 009E,Wandsworth,7.633,Q1_Least,80,4.9320220947265625,1.5045166015625,6.667901241566786,0.0,23.095703125,0.1373291015625,7.73773193359375,completed,measured
E01004590,Wandsworth 005B,Wandsworth,25.382,Q3,80,17.295684814453125,13.8458251953125,16.87168169219874,0.0,92.889404296875,4.150390625,23.52447509765625,completed,measured
E01004591,Wandsworth 005C,Wandsworth,18.629,Q2,80,6.444854736328125,2.24609375,9.787033255801974,0.0,57.70263671875,0.103759765625,11.93084716796875,completed,measured
E01004592,Wandsworth 005D,Wandsworth,25.647,Q3,80,12.221145629882812,10.4248046875,11.95629021842308,0.0,59.637451171875,4.36859130859375,14.54925537109375,completed,measured
E01004593,Wandsworth 025A,Wandsworth,8.54,Q1_Least,80,15.426788330078123,14.8956298828125,10.350031243510864,0.0,41.02783203125,5.9814453125,23.0712890625,completed,measured
E01004595,Wandsworth 025B,Wandsworth,8.241,Q1_Least,80,13.265228271484377,12.82958984375,7.437116907012149,0.29296875,28.69873046875,7.02667236328125,18.53179931640625,completed,measured
E01004596,Wandsworth 020E,Wandsworth,6.139,Q1_Least,80,4.5925140380859375,1.165771484375,6.668712584796338,0.0,28.7841796875,0.262451171875,5.914306640625,completed,measured
E01004597,Wandsworth 025C,Wandsworth,11.97,Q1_Least,0,13.320456390801889,13.320456390801889,8.0,0.0,28.320456390801887,8.320456390801889,18.320456390801887,no_data,predicted
E01004598,Wandsworth 025D,Wandsworth,8.252,Q1_Least,80,9.592742919921877,7.82470703125,9.596249009451888,0.0,54.815673828125,3.4210205078125,13.043212890625,completed,measured
E01004599,Wandsworth 025E,Wandsworth,3.568,Q1_Least,0,33.24236294641368,33.24236294641368,8.0,18.242362946413678,48.24236294641368,28.242362946413678,38.24236294641368,no_data,predicted
E01004601,Wandsworth 018D,Wandsworth,19.4,Q2,80,13.796234130859377,12.2894287109375,11.616463234531915,0.0244140625,60.31494140625,5.35736083984375,18.96514892578125,completed,measured
E01004602,Wandsworth 010C,Wandsworth,9.577,Q1_Least,80,12.199172973632812,7.5164794921875,13.836186377199896,0.0,50.67138671875,0.12359619140625,20.4315185546875,completed,measured
E01004604,Wandsworth 006A,Wandsworth,7.81,Q1_Least,80,12.6513671875,8.6090087890625,11.59580771129361,0.13427734375,49.89013671875,4.98046875,17.70172119140625,completed,measured
E01004605,Wandsworth 006B,Wandsworth,12.649,Q1_Least,80,13.941726684570312,11.5447998046875,11.26600889324267,0.384521484375,48.089599609375,4.94384765625,19.8760986328125,completed,measured
E01004606,Wandsworth 006C,Wandsworth,6.039,Q1_Least,80,10.137863159179688,6.5399169921875,9.885454912737616,0.030517578125,45.953369140625,2.508544921875,16.3360595703125,completed,measured
E01004607,Wandsworth 006D,Wandsworth,6.918,Q1_Least,80,12.270050048828123,10.675048828125,10.441161586634712,0.28076171875,54.0283203125,4.20379638671875,17.49114990234375,completed,measured
E01004608,Wandsworth 006E,Wandsworth,15.701,Q2,80,9.084014892578123,4.4769287109375,10.416828864419296,0.0,45.953369140625,0.4486083984375,16.34674072265625,completed,measured
E01004609,Wandsworth 010E,Wandsworth,11.246,Q1_Least,80,9.356155395507812,4.8065185546875,11.880446215413592,0.0,49.13330078125,0.14801025390625,14.20745849609375,completed,measured
E01004610,Wandsworth 033C,Wandsworth,19.919,Q2,80,5.3485870361328125,2.2796630859375,6.752362230456545,0.0,31.463623046875,0.44403076171875,7.3486328125,completed,measured
E01004611,Wandsworth 032B,Wandsworth,15.858,Q2,80,2.497406005859375,0.2838134765625,5.297070702785248,0.0,26.28173828125,0.01068115234375,1.36871337890625,completed,measured
E01004612,Wandsworth 032C,Wandsworth,21.038,Q3,80,2.8630828857421875,0.2685546875,5.222952588374686,0.0,22.509765625,0.006103515625,2.4444580078125,completed,measured
E01004614,Wandsworth 034A,Wandsworth,17.52,Q2,59,7.196355270127119,5.072021484375,7.073877846798935,0.0,31.463623046875,1.751708984375,11.8438720703125,completed,measured
E01004615,Wandsworth 034B,Wandsworth,37.117,Q5_Most,80,20.479812622070312,18.0206298828125,17.588724138146944,1.727294921875,81.964111328125,7.42340087890625,27.2552490234375,completed,measured
E01004616,Wandsworth 034C,Wandsworth,16.16,Q2,39,1.2859637920673077,0.1708984375,2.3741089215873394,0.0,11.083984375,0.03662109375,1.6571044921875,completed,measured
E01004617,Wandsworth 034D,Wandsworth,22.718,Q3,80,29.856719970703125,17.401123046875,29.260692712105865,0.0,92.767333984375,3.33251953125,54.18548583984375,completed,measured
E01004618,Wandsworth 032D,Wandsworth,13.315,Q1_Least,80,1.4403533935546875,0.3326416015625,2.509487836907049,0.0,12.469482421875,0.06256103515625,1.7974853515625,completed,measured
E01004619,Wandsworth 015E,Wandsworth,13.597,Q1_Least,80,36.89903259277344,34.686279296875,23.287269361850523,0.0,85.321044921875,18.47076416015625,52.85186767578125,completed,measured
E01004620,Wandsworth 019C,Wandsworth,13.595,Q1_Least,80,14.025421142578123,11.5753173828125,8.425040957026495,3.03955078125,36.53564453125,6.396484375,20.13092041015625,completed,measured
E01004621,Wandsworth 019D,Wandsworth,16.179,Q2,80,22.15911865234375,20.2301025390625,14.876532427982058,1.35498046875,92.12646484375,12.48626708984375,30.33294677734375,completed,measured
E01004622,Wandsworth 024D,Wandsworth,21.096,Q3,80,27.7484130859375,27.6824951171875,13.25718313363167,6.82373046875,75.079345703125,17.17529296875,34.56878662109375,completed,measured
E01004623,Wandsworth 019E,Wandsworth,8.842,Q1_Least,80,6.360626220703125,4.2144775390625,9.5181499107771,0.0,60.24169921875,1.6448974609375,7.72552490234375,completed,measured
E01004624,Wandsworth 024E,Wandsworth,19.498,Q2,80,19.32281494140625,19.0216064453125,13.521653430245015,0.01220703125,53.912353515625,6.67572021484375,29.6722412109375,completed,measured
E01004625,Wandsworth 027E,Wandsworth,7.552,Q1_Least,80,20.45074462890625,18.9605712890625,10.084408766656296,2.6611328125,79.296875,14.42718505859375,24.20654296875,completed,measured
E01004626,Wandsworth 027F,Wandsworth,14.008,Q1_Least,80,9.495162963867188,7.0068359375,8.27553818603268,0.0,32.989501953125,3.1219482421875,13.61846923828125,completed,measured
E01004627,Wandsworth 019F,Wandsworth,10.143,Q1_Least,80,14.599685668945312,13.3056640625,10.161575172733992,0.0,34.564208984375,5.548095703125,23.2757568359375,completed,measured
E01004628,Wandsworth 022A,Wandsworth,23.386,Q3,80,28.36585998535156,26.806640625,12.737424547622156,4.08935546875,52.191162109375,18.70880126953125,39.5355224609375,completed,measured
E01004629,Wandsworth 020F,Wandsworth,8.717,Q1_Least,80,7.962646484375,2.691650390625,9.933087160136449,0.0,32.09228515625,0.244140625,17.68646240234375,completed,measured
E01004630,Wandsworth 022B,Wandsworth,29.906,Q4,41,18.030827219893293,17.138671875,14.073916320328422,0.653076171875,77.294921875,10.003662109375,20.819091796875,completed,measured
E01004631,Wandsworth 022C,Wandsworth,20.805,Q2,46,18.14150602921196,15.557861328125,18.3092142640554,0.0,94.71435546875,6.00433349609375,20.93963623046875,completed,measured
